Take Profit %,Stop Loss %,Entry Threshold_0_2,Entry Threshold_0_5,Leverage,Final Capital
6,2.5,0.2,0.2,1,9458.796457570617
6,2.5,0.2,0.3,1,9200.020206029654
6,2.5,0.2,0.4,1,8188.8680279252885
6,2.5,0.3,0.2,1,11443.76035715306
6,2.5,0.3,0.3,1,11145.875821060827
6,2.5,0.3,0.4,1,11440.789877366931
6,2.5,0.4,0.2,1,7913.751090171846
6,2.5,0.4,0.3,1,7860.4171523512505
6,2.5,0.4,0.4,1,8161.899290102825
6,3.0,0.2,0.2,1,5521.917868846734
6,3.0,0.2,0.3,1,5527.816529177873
6,3.0,0.2,0.4,1,7490.356525510875
6,3.0,0.3,0.2,1,9168.325797179594
6,3.0,0.3,0.3,1,8430.450534337868
6,3.0,0.3,0.4,1,11744.554222526347
6,3.0,0.4,0.2,1,9460.874602241078
6,3.0,0.4,0.3,1,8711.27977217845
6,3.0,0.4,0.4,1,12688.939728419962
6,3.5,0.2,0.2,1,12566.175907789191
6,3.5,0.2,0.3,1,12579.354812491187
6,3.5,0.2,0.4,1,13658.144478955262
6,3.5,0.3,0.2,1,10037.085667569892
6,3.5,0.3,0.3,1,10053.13928335653
6,3.5,0.3,0.4,1,11390.486952624726
6,3.5,0.4,0.2,1,10154.663160830582
6,3.5,0.4,0.3,1,10177.033475291144
6,3.5,0.4,0.4,1,12667.267807795582
7,2.5,0.2,0.2,1,4917.045813040907
7,2.5,0.2,0.3,1,4790.477706757551
7,2.5,0.2,0.4,1,6825.453361899405
7,2.5,0.3,0.2,1,7269.511250346436
7,2.5,0.3,0.3,1,7190.951757896181
7,2.5,0.3,0.4,1,8898.294920913335
7,2.5,0.4,0.2,1,8880.637981359801
7,2.5,0.4,0.3,1,8636.77975079219
7,2.5,0.4,0.4,1,10098.03182242585
7,3.0,0.2,0.2,1,9276.219046612852
7,3.0,0.2,0.3,1,9281.291723983672
7,3.0,0.2,0.4,1,10193.054139999556
7,3.0,0.3,0.2,1,16742.712515874413
7,3.0,0.3,0.3,1,16732.429061809395
7,3.0,0.3,0.4,1,17707.39640190379
7,3.0,0.4,0.2,1,16603.244138580772
7,3.0,0.4,0.3,1,16610.52566288646
7,3.0,0.4,0.4,1,17554.74194175017
7,3.5,0.2,0.2,1,11318.747602168038
7,3.5,0.2,0.3,1,11317.452457428464
7,3.5,0.2,0.4,1,11129.893670203555
7,3.5,0.3,0.2,1,12626.21280925478
7,3.5,0.3,0.3,1,12617.512397068595
7,3.5,0.3,0.4,1,14056.020039253941
7,3.5,0.4,0.2,1,12320.469046351922
7,3.5,0.4,0.3,1,12347.916259206808
7,3.5,0.4,0.4,1,12538.40333728215
8,2.5,0.2,0.2,1,9343.43866920526
8,2.5,0.2,0.3,1,9354.159597811336
8,2.5,0.2,0.4,1,13850.382939415775
8,2.5,0.3,0.2,1,14325.872516741294
8,2.5,0.3,0.3,1,14322.22800865966
8,2.5,0.3,0.4,1,14626.710469703456
8,2.5,0.4,0.2,1,11806.750973167782
8,2.5,0.4,0.3,1,12453.15916754353
8,2.5,0.4,0.4,1,12730.684158694916
8,3.0,0.2,0.2,1,11329.717049590454
8,3.0,0.2,0.3,1,11328.947235259488
8,3.0,0.2,0.4,1,15638.208830380305
8,3.0,0.3,0.2,1,13206.163946467048
8,3.0,0.3,0.3,1,13217.60850810123
8,3.0,0.3,0.4,1,13216.255832674655
8,3.0,0.4,0.2,1,12043.089879383873
8,3.0,0.4,0.3,1,12035.223127055411
8,3.0,0.4,0.4,1,12043.877973861807
8,3.5,0.2,0.2,1,5945.902421654203
8,3.5,0.2,0.3,1,5955.382260479821
8,3.5,0.2,0.4,1,6720.721568192512
8,3.5,0.3,0.2,1,7438.166089415363
8,3.5,0.3,0.3,1,7447.038045852056
8,3.5,0.3,0.4,1,7451.832417832352
8,3.5,0.4,0.2,1,6406.2825988970635
8,3.5,0.4,0.3,1,6395.888023826564
8,3.5,0.4,0.4,1,6408.425689763329
